State Name,Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio,National School Lunch Program,School ID - NCES Assigned,School Name,District Entity ID,District Name,Percent Passing,Subject
ARIZONA,Camp Verde Unified District,"=""0401600""",Yavapai County,"=""04025""",2-No,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0401""",High,23,13,13,10,5,"=""0""",6,"=""0""",11,"=""0""",1,2.00,11.50,Yes participating without using any Provision or the CEO,"=""040160003053""",South Verde Technology Magnet,4470,Camp Verde Unified District,3,Math
Arizona,Southgate Academy  Inc.,"=""0400259""",Pima County,"=""04019""",1-Yes,6-Not a Title I school,"=""0403""",Other,547,218,286,261,42,"=""0""",462,9,25,1,8,–,†,Yes under Community Eligibility Option (CEO),"=""040025902080""",Southgate Academy,79085,"Southgate Academy, Inc.",9,English Language Arts
Arizona,Southgate Academy  Inc.,"=""0400259""",Pima County,"=""04019""",1-Yes,6-Not a Title I school,"=""0403""",Other,547,218,286,261,42,"=""0""",462,9,25,1,8,–,†,Yes under Community Eligibility Option (CEO),"=""040025902080""",Southgate Academy,79085,"Southgate Academy, Inc.",5,Math
Arizona,Aprender Tucson,"=""0400318""",Pima County,"=""04019""",1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0403""",Other,241,216,124,117,1,1,233,2,3,"=""0""",1,–,†,Yes under Community Eligibility Option (CEO),"=""040031802203""",Southside Community School,79426,Aprender Tucson,19,English Language Arts
Arizona,Aprender Tucson,"=""0400318""",Pima County,"=""04019""",1-Yes,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0403""",Other,241,216,124,117,1,1,233,2,3,"=""0""",1,–,†,Yes under Community Eligibility Option (CEO),"=""040031802203""",Southside Community School,79426,Aprender Tucson,31,Math
Arizona,Roosevelt Elementary District,"=""0407080""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0407""",Elementary,507,430,263,244,16,1,433,18,33,1,5,22.03,23.01,Yes under Provision 2,"=""040708001325""",Southwest Elementary School,4279,Roosevelt Elementary District,29,English Language Arts
Arizona,Roosevelt Elementary District,"=""0407080""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0407""",Elementary,507,430,263,244,16,1,433,18,33,1,5,22.03,23.01,Yes under Provision 2,"=""040708001325""",Southwest Elementary School,4279,Roosevelt Elementary District,25,Math
Arizona,Gadsden Elementary District,"=""0403240""",Yuma County,"=""04027""",2-No,5-Title I schoolwide school,"=""0403""",Middle,810,744,415,395,"=""0""","=""0""",808,"=""0""",2,"=""0""","=""0""",15.00,54.00,Yes under Provision 2,"=""040324002388""",Southwest Jr. High School,4505,Gadsden Elementary District,34,English Language Arts
Arizona,Gadsden Elementary District,"=""0403240""",Yuma County,"=""04027""",2-No,5-Title I schoolwide school,"=""0403""",Middle,810,744,415,395,"=""0""","=""0""",808,"=""0""",2,"=""0""","=""0""",15.00,54.00,Yes under Provision 2,"=""040324002388""",Southwest Jr. High School,4505,Gadsden Elementary District,27,Math
Arizona,Maricopa County Regional District,"=""0403860""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0407""",Other,328,–,260,68,"=""0""","=""0""",328,"=""0""","=""0""","=""0""","=""0""",17.00,19.29,No,"=""040386003209""",Southwest Key Transitional Learning Center,4234,Maricopa County Regional District,<2,English Language Arts
Arizona,Maricopa County Regional District,"=""0403860""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0407""",Other,328,–,260,68,"=""0""","=""0""",328,"=""0""","=""0""","=""0""","=""0""",17.00,19.29,No,"=""040386003209""",Southwest Key Transitional Learning Center,4234,Maricopa County Regional District,<2,Math
Arizona,Southwest Leadership Academy,"=""0400880""",Maricopa County,"=""04013""",1-Yes,6-Not a Title I school,"=""0407""",High,321,218,183,138,6,"=""0""",278,24,8,1,4,–,†,Yes under Community Eligibility Option (CEO),"=""040088003398""",Southwest Leadership Academy,92043,Southwest Leadership Academy,3,English Language Arts
Arizona,Southwest Leadership Academy,"=""0400880""",Maricopa County,"=""04013""",1-Yes,6-Not a Title I school,"=""0407""",High,321,218,183,138,6,"=""0""",278,24,8,1,4,–,†,Yes under Community Eligibility Option (CEO),"=""040088003398""",Southwest Leadership Academy,92043,Southwest Leadership Academy,4,Math
Arizona,Gilbert Unified District,"=""0403400""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0405""",Elementary,591,129,302,289,8,27,142,26,353,1,34,36.96,15.99,Yes participating without using any Provision or the CEO,"=""040340003146""",Spectrum Elementary,4239,Gilbert Unified District,64,English Language Arts
Arizona,Gilbert Unified District,"=""0403400""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0405""",Elementary,591,129,302,289,8,27,142,26,353,1,34,36.96,15.99,Yes participating without using any Provision or the CEO,"=""040340003146""",Spectrum Elementary,4239,Gilbert Unified District,65,Math
Arizona,St David Unified District,"=""0408020""",Cochise County,"=""04003""",2-No,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0402""",Elementary,244,112,136,108,2,"=""0""",27,3,209,"=""0""",3,13.00,18.77,Yes participating without using any Provision or the CEO,"=""040802000700""",St David Elementary School,4173,St David Unified District,44,English Language Arts
Arizona,St David Unified District,"=""0408020""",Cochise County,"=""04003""",2-No,3-Title I schoolwide eligible-Title I targeted assistance program,"=""0402""",Elementary,244,112,136,108,2,"=""0""",27,3,209,"=""0""",3,13.00,18.77,Yes participating without using any Provision or the CEO,"=""040802000700""",St David Elementary School,4173,St David Unified District,41,Math
Arizona,St David Unified District,"=""0408020""",Cochise County,"=""04003""",2-No,1-Title I targeted assistance eligible school-No program,"=""0402""",High,104,30,46,58,2,2,7,"=""0""",90,"=""0""",3,7.00,14.86,Yes participating without using any Provision or the CEO,"=""040802000701""",St David High School,4173,St David Unified District,59,English Language Arts
Arizona,St David Unified District,"=""0408020""",Cochise County,"=""04003""",2-No,1-Title I targeted assistance eligible school-No program,"=""0402""",High,104,30,46,58,2,2,7,"=""0""",90,"=""0""",3,7.00,14.86,Yes participating without using any Provision or the CEO,"=""040802000701""",St David High School,4173,St David Unified District,49,Math
Arizona,St Johns Unified District,"=""0408080""",Apache County,"=""04001""",2-No,6-Not a Title I school,"=""0401""",High,249,101,131,118,18,"=""0""",57,1,166,2,5,14.77,16.86,Yes participating without using any Provision or the CEO,"=""040808001049""",St Johns High School,4153,St Johns Unified District,55,English Language Arts
