State Name,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,Agency Name,Agency ID - NCES Assigned,Total Students All Grades (Excludes AE),School Level,Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Pupil/Teacher Ratio,Full-Time Equivalent (FTE) Teachers,School ID - NCES Assigned,District Entity ID,School Name,District Name,Percent Passing,Subject
Arizona,Maricopa County,"=""04013""",1-Yes,6-Not a Title I school,"=""0409""",No,Kestrel Schools Inc. (79065),"=""0400267""",28,High,–,20,8,1,1,6,4,8,7,1,†,–,"=""040026702091""",79065,Valley Preparatory Academy,"Kestrel Schools, Inc.",*,English Language Arts
Arizona,Maricopa County,"=""04013""",1-Yes,6-Not a Title I school,"=""0409""",No,Kestrel Schools Inc. (79065),"=""0400267""",28,High,–,20,8,1,1,6,4,8,7,1,†,–,"=""040026702091""",79065,Valley Preparatory Academy,"Kestrel Schools, Inc.",*,Mathematics
Arizona,Cochise County,"=""04003""",2-No,5-Title I schoolwide school,"=""0402""",Yes participating without using any Provision or the CEO,Valley Union High School District (4190),"=""0408910""",127,High,61,72,55,5,"=""0""",8,3,110,"=""0""",1,13.89,9.14,"=""040891000911""",4190,Valley Union High School,Valley Union High School District,25,English Language Arts
Arizona,Cochise County,"=""04003""",2-No,5-Title I schoolwide school,"=""0402""",Yes participating without using any Provision or the CEO,Valley Union High School District (4190),"=""0408910""",127,High,61,72,55,5,"=""0""",8,3,110,"=""0""",1,13.89,9.14,"=""040891000911""",4190,Valley Union High School,Valley Union High School District,16,Mathematics
Arizona,Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0407""",Yes under Community Eligibility Option (CEO),Roosevelt Elementary District (4279),"=""0407080""",581,Elementary,510,311,270,20,3,490,35,26,"=""0""",7,18.74,31.00,"=""040708001100""",4279,Valley View School,Roosevelt Elementary District,22,English Language Arts
Arizona,Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0407""",Yes under Community Eligibility Option (CEO),Roosevelt Elementary District (4279),"=""0407080""",581,Elementary,510,311,270,20,3,490,35,26,"=""0""",7,18.74,31.00,"=""040708001100""",4279,Valley View School,Roosevelt Elementary District,21,Mathematics
Arizona,Maricopa County,"=""04013""",2-No,4-Title I schoolwide eligible school-No program,"=""0408""",Yes participating without using any Provision or the CEO,Dysart Unified District (4243),"=""0402690""",2620,High,1204,1277,1343,17,55,1059,249,1128,14,98,24.39,107.40,"=""040269002684""",4243,Valley Vista High School,Dysart Unified District,31,English Language Arts
Arizona,Maricopa County,"=""04013""",2-No,4-Title I schoolwide eligible school-No program,"=""0408""",Yes participating without using any Provision or the CEO,Dysart Unified District (4243),"=""0402690""",2620,High,1204,1277,1343,17,55,1059,249,1128,14,98,24.39,107.40,"=""040269002684""",4243,Valley Vista High School,Dysart Unified District,30,Mathematics
Arizona,Pima County,"=""04019""",2-No,5-Title I schoolwide school,"=""0403""",Yes participating without using any Provision or the CEO,Tucson Unified District (4403),"=""0408800""",284,Elementary,238,148,136,8,2,266,"=""0""",7,"=""0""",1,16.71,17.00,"=""040880000897""",4403,Van Buskirk Elementary School,Tucson Unified District,34,English Language Arts
Arizona,Pima County,"=""04019""",2-No,5-Title I schoolwide school,"=""0403""",Yes participating without using any Provision or the CEO,Tucson Unified District (4403),"=""0408800""",284,Elementary,238,148,136,8,2,266,"=""0""",7,"=""0""",1,16.71,17.00,"=""040880000897""",4403,Van Buskirk Elementary School,Tucson Unified District,40,Mathematics
